fua_code,study_city_label,population,spotify_id,band,monthly_listeners,catalogue
UK001F,London,12666099,7MhMgCo0Bl0Kukl93PZbYS,Blur,14009757,Editorial reviewed ten
UK001F,London,12666099,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,92034104,Editorial reviewed ten
UK001F,London,12666099,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,50959935,Editorial reviewed ten
UK001F,London,12666099,1moxjboGR7GNWYIMWsRjgG,Florence and the Machine,25836943,Editorial reviewed ten
UK001F,London,12666099,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,20605707,Editorial reviewed ten
UK001F,London,12666099,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,26546155,Editorial reviewed ten
UK001F,London,12666099,1dfeR4HaWDbWqFHLkxsg1d,Queen,51601234,Editorial reviewed ten
UK001F,London,12666099,3RGLhK1IP9jnYFH4BRFJBS,The Clash,14589467,Editorial reviewed ten
UK001F,London,12666099,5NGO30tJxFlKixkPSgXcFE,The Police,39887109,Editorial reviewed ten
UK001F,London,12666099,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,30690194,Editorial reviewed ten
UK008F,Manchester,3595966,432R46LaYsJZV2Gmc4jUV5,Joy Division,4140711,Editorial reviewed ten
UK008F,Manchester,3595966,0yNLKJebCb8Aueb54LYya3,New Order,8786188,Editorial reviewed ten
UK008F,Manchester,3595966,2DaxqgrOhkeH0fpeiQq2f4,Oasis,39676473,Editorial reviewed ten
UK008F,Manchester,3595966,1fa0cOhromAZdq2xRA4vv8,Simply Red,9097250,Editorial reviewed ten
UK008F,Manchester,3595966,1XgFuvRd7r5g0h844A5ZUQ,Take That,6539015,Editorial reviewed ten
UK008F,Manchester,3595966,3mIj9lX2MWuHmhNCA7LSCW,The 1975,18915018,Editorial reviewed ten
UK008F,Manchester,3595966,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,9143502,Editorial reviewed ten
UK008F,Manchester,3595966,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,22515532,Editorial reviewed ten
UK008F,Manchester,3595966,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,3488308,Editorial reviewed ten
UK008F,Manchester,3595966,2cGwlqi3k18jFpUyTrsR84,The Verve,16374768,Editorial reviewed ten
UK002F,Birmingham,3247941,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,18288641,Editorial reviewed ten
UK002F,Birmingham,3247941,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,7999321,Editorial reviewed ten
UK002F,Birmingham,3247941,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,15134650,Editorial reviewed ten
UK002F,Birmingham,3247941,7jefIIksOi1EazgRTfW2Pk,ELO,18330664,Editorial reviewed ten
UK002F,Birmingham,3247941,6e9wIFWhBPHLE9bXK8gtBI,Editors,1241937,Editorial reviewed ten
UK002F,Birmingham,3247941,20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,5309505,Editorial reviewed ten
UK002F,Birmingham,3247941,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,4112763,Editorial reviewed ten
