popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
1,4gzpq5DPGxSnKTe4SA8HAU,Q45188,Coldplay,92034104,64732379,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
2,7Ln80lUS6He07XvHI8qqHH,Q170599,Arctic Monkeys,52301870,35028298,Sheffield,reported_place,True,True,,,,,confirmed,Sheffield,confirmed,high,strict,UK010F
3,1dfeR4HaWDbWqFHLkxsg1d,Q15862,Queen,51601234,58004701,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
4,08GQAI4eElDnROBrJRGE0X,Q106648,Fleetwood Mac,50959935,15546243,London,reported_place,True,True,,,,,confirmed,London,not_reviewed,,strict,UK001F
5,4AK6F7OLvEQ5QYCBNiQWHq,Q146027,One Direction,45724043,41728665,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
6,4Z8W4fKeB5YxbusRsdQVPb,Q44190,Radiohead,43168156,16613975,Oxford,editorial_city_cluster,True,True,,,,,confirmed,Abingdon-on-Thames,not_reviewed,,strict,UK560F
7,5NGO30tJxFlKixkPSgXcFE,Q178095,The Police,39887109,8458469,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
8,2DaxqgrOhkeH0fpeiQq2f4,Q382890,Oasis,39676473,13941515,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
9,3AA28KZvwAUcZuOKwyblJQ,Q189991,Gorillaz,38173160,16369649,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
10,3WrFJ7ztbogyGnTHbHJFl2,Q1299,The Beatles,37927636,32385954,Liverpool,reported_place,True,False,,,,,confirmed,Liverpool,not_reviewed,,strict,UK006F
11,6MDME20pz9RveH9rEXvrOM,Q11838808,Clean Bandit,35453400,6321202,Cambridge,reported_place,True,False,,,,,confirmed,Cambridge,not_reviewed,,strict,UK017F
12,22bE4uQ6baNwSHPVcDxLCe,Q11036,The Rolling Stones,30690194,16651560,London,reported_place,True,True,,,,,confirmed,London,not_reviewed,,strict,UK001F
13,1LZEQNv7sE11VDY3SdxQeN,Q133405,Bee Gees,29286539,10121737,Redcliffe,reviewed_override,True,False,,,,,confirmed,Redcliffe,not_reviewed,,excluded_non_uk,
14,4yvcSjfu4PC0CYQyLy4wSq,Q16839267,Glass Animals,27093208,4804844,Oxford,reported_place,True,False,,,,,confirmed,Oxford,not_reviewed,,strict,UK560F
15,0k17h0D3J5VfsdmQ1iZtE9,Q2306,Pink Floyd,26546155,24145634,London,reported_place,True,True,,,,,confirmed,London,not_reviewed,,strict,UK001F
16,0WwSkZ7LtFUFjGjMZBMt6T,Q50040,Dire Straits,26242776,9643393,London,editorial_city_cluster,True,False,,,,,confirmed,Deptford,confirmed,high,strict,UK001F
17,1moxjboGR7GNWYIMWsRjgG,Q217360,Florence + The Machine,25836943,7587105,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
18,7bu3H8JO7d0UbMoVzbo70s,Q484427,The Cure,25827890,7492117,Crawley,reported_place,True,False,,,,,confirmed,Crawley,not_reviewed,,strict,UK576F
19,47zz7sob9NUcODy0BTDvKx,Q658182,Sade,25528819,6060389,London,reported_place,True,True,,,,,confirmed,London,not_reviewed,,strict,UK001F
20,6nS5roXSAGhTGr34W6n7Et,Q1228440,Disclosure,25360907,2482964,Reigate,reported_place,True,False,,,,,confirmed,Reigate,not_reviewed,,strict,UK001F
21,4bthk9UfsYUYdcFyqxmSUU,Q269091,Tears For Fears,23781006,4593372,Bath,reported_place,True,False,,,,,confirmed,Bath,not_reviewed,,strict,UK031F
22,53A0W3U0s8diEn9RhXQhVz,Q484311,Keane,23259577,4211743,Battle,reported_place,True,False,,,,,confirmed,Battle,not_reviewed,,strict,UK056F
23,3yY2gUcIsjMr8hjo51PoJ8,Q180598,The Smiths,22515532,8767855,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
24,7EQ0qTo7fWT7DPxmxtSYEc,Q689,Bastille,22166012,5786448,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
25,12Chz98pHFMPJEknJQMWvI,Q22151,Muse,20942571,8949427,Teignmouth,reported_place,True,False,,,,,confirmed,Teignmouth,not_reviewed,,strict,UK018F
26,36QJpDe2go2KgaRleHCDTp,Q2331,Led Zeppelin,20605707,16927470,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
27,3mIj9lX2MWuHmhNCA7LSCW,Q2811247,The 1975,18915018,8582651,Manchester,editorial_city_cluster,True,False,,,,,confirmed,Wilmslow,not_reviewed,,strict,UK008F
28,7jefIIksOi1EazgRTfW2Pk,Q218255,Electric Light Orchestra,18330664,4748870,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
29,5M52tdBnJaKSvOpJGz8mfZ,Q47670,Black Sabbath,18288641,10711277,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
30,1zxDewzd2j1ZdSBGaYcr0y,Q2093178,The Outfield,17941634,893650,London,reviewed_override,True,False,,,,,corrected,London,corrected,high,strict,UK001F
31,762310PdDnwsDxAQxzQkfX,Q482964,Depeche Mode,17667155,7949283,Basildon,reported_place,True,False,,,,,confirmed,Basildon,not_reviewed,,strict,UK001F
32,35U9lQaRWSQISxQAB94Meo,Q126852,America,17384987,2286400,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
33,2cGwlqi3k18jFpUyTrsR84,Q488916,The Verve,16374768,3001478,Manchester,editorial_city_cluster,True,False,,,,,confirmed,Wigan,not_reviewed,,strict,UK008F
34,0lZoBs4Pzo7R89JM9lxwoT,Q58381,Duran Duran,15134650,3958344,Birmingham,reported_place,True,False,,,,,confirmed,Birmingham,not_reviewed,,strict,UK002F
35,0NKDgy9j66h3DLnN8qu1bB,Q207706,Eurythmics,14843560,2546395,London,reviewed_override,True,False,,,,,corrected,London,corrected,,strict,UK001F
36,3e7awlrlDSwF3iM0WBjGMp,Q158419,Little Mix,14779473,12405563,London,reviewed_override,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
37,3RGLhK1IP9jnYFH4BRFJBS,Q125603,The Clash,14589467,3508323,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
38,3gd8FJtBJtkRxdfbTu19U2,Q953918,Mumford & Sons,14381934,6882187,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
39,7MhMgCo0Bl0Kukl93PZbYS,Q485820,Blur,14009757,4274924,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
40,1Ffb6ejR6Fe5IamqA5oRUF,Q494784,Bring Me The Horizon,13707032,7131475,Sheffield,reported_place,True,False,,,,,confirmed,Sheffield,not_reviewed,,strict,UK010F
41,3rIZMv9rysU7JkLzEaC5Jp,Q188407,Snow Patrol,13274460,3465980,Dundee,reported_place,True,False,,,,,confirmed,Dundee,not_reviewed,,strict,UK550F
42,0uq5PttqEjj3IH1bzwcrXF,Q55641,Spice Girls,12877807,4560204,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
43,3ICflSq6ZgYAIrm2CTkfVP,Q131422,The Animals,12324330,2812173,Newcastle upon Tyne,reported_place,True,False,,,,,confirmed,Newcastle upon Tyne,not_reviewed,,strict,UK013F
44,4WN5naL3ofxrVBgFpguzKo,Q50971,Rudimental,11737472,1462225,London,editorial_city_cluster,True,False,,,,,confirmed,London Borough of Hackney,not_reviewed,,strict,UK001F
45,5T4UKHhr4HGIC0VzdZQtAE,Q542071,Faithless,11726956,796754,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
46,5EehXjjMktLuJmbRsM7YfB,Q24025201,Disciples,11691137,299331,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
47,59oA5WbbQvomJz2BuRG071,Q17405943,Jungle,11614048,1886516,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
48,5jTtGLk1mGFMY5lQOvJYUj,Q285481,bôa,11444869,1380058,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
49,3cniTumSiUysiPWXapGx1i,Q977526,Cutting Crew,10972839,628518,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
50,0XNa1vTidXlvJ2gHSsRi4A,Q173180,Franz Ferdinand,10807735,3218082,Glasgow,reported_place,True,False,,,,,confirmed,Glasgow,not_reviewed,,strict,UK004F
51,6H1RjVyNruCmrBEWRbD0VZ,Q182890,Def Leppard,10792689,6056540,Sheffield,reported_place,True,False,,,,,confirmed,Sheffield,not_reviewed,,strict,UK010F
