city,population,input_bands,top_excluded_retained_bands,highest_excluded_bands,all_ten_value,all_ten_ratio,top_excluded_value,top_excluded_ratio,top_band_concentration,metric,raw_total_rank,all_ten_rank,top_excluded_rank
Oxford,606748,10,9,Radiohead,79630555,131.2415615708663,36462399,60.09479882916796,0.542105426742285,monthly_listeners,5,1,1
Sheffield,1217504,10,9,Arctic Monkeys,93656067,76.92464829684337,41354197,33.96637464846111,0.5584461495697871,monthly_listeners,3,2,2
Liverpool,1597536,10,9,The Beatles,71892005,45.001805906095385,33964369,21.260471751497306,0.527564031633281,monthly_listeners,6,3,5
Manchester,3595966,10,9,Oasis,138676765,38.56453731764984,99000292,27.530931048847513,0.28610757541106474,monthly_listeners,2,4,3
London,12666099,10,9,Coldplay,366760605,28.956082294951273,274726501,21.68990633974991,0.25093781269119675,monthly_listeners,1,5,4
Birmingham,3247941,10,9,ELO,83758431,25.78816271600993,65427767,20.144382856708297,0.21885156850657816,monthly_listeners,4,6,6
Glasgow,1895840,10,9,Franz Ferdinand,44115424,23.269592370664192,33307689,17.568829120600896,0.244987671432105,monthly_listeners,7,7,7
Belfast,817574,10,9,Two Door Cinema Club,15253374,18.65687265005981,5368951,6.566929721346325,0.6480155144691266,monthly_listeners,11,8,9
Bristol,1025309,10,9,Massive Attack,17389817,16.9605621329765,8696886,8.482209753352404,0.4998862840247255,monthly_listeners,9,9,8
Newcastle,1221203,10,9,The Animals,16201200,13.26659040306976,3876870,3.1746318998561254,0.760704762610177,monthly_listeners,10,10,13
Hull,631285,10,9,Everything but the Girl,7901526,12.51657492257855,2294133,3.6340686060970877,0.7096595012153348,monthly_listeners,12,11,12
Leeds,3070506,10,9,Alt-J,27602295,8.98949391403241,19491357,6.347929950307865,0.293850130940199,monthly_listeners,8,12,10
Cardiff,939371,10,9,Stereophonics,7416867,7.8955673530479435,2229609,2.373512701584358,0.6993866817350237,monthly_listeners,13,13,14
Nottingham,936382,10,9,London Grammar,7171024,7.658224955199907,4338885,4.633669805698956,0.3949420612732575,monthly_listeners,14,14,11
Leicester,967988,10,9,Kasabian,5439076,5.618949821692005,1789975,1.8491706508758372,0.6709045801161815,monthly_listeners,15,15,15
Coventry,787858,10,9,The Specials,2778985,3.527266334796372,1346612,1.7092064813710084,0.5154302740029183,monthly_listeners,16,16,16
Edinburgh,932180,10,9,Boards of Canada,2693468,2.8894290802205584,1516282,1.6265978673646722,0.43705215729312547,monthly_listeners,17,17,17
Southampton,713674,10,9,Bury Tomorrow,1656126,2.320563730779039,1158147,1.622795562119399,0.3006890780049344,monthly_listeners,18,18,18
Portsmouth,539655,10,9,Acres,347715,0.644328320871668,161713,0.2996599679424818,0.5349265921803776,monthly_listeners,19,19,19
Middlesbrough,600369,10,9,Cattle & Cane,138377,0.2304865840841216,71819,0.11962476410340973,0.4809903379896948,monthly_listeners,20,20,20
