city,population,input_bands,retained_bands,trim_each_tail,trim_fraction_each_tail,lowest_excluded_bands,highest_excluded_bands,retained_band_names,untrimmed_value,untrimmed_ratio,top_excluded_value,top_excluded_ratio,trimmed_value,trimmed_mean,population_normalized_trimmed_mean,scene_depth_ratio,top_band_concentration,metric,untrimmed_rank,top_excluded_rank,rank,rank_shift_after_trim,symmetric_vs_top_only_rank_shift,untrimmed_listeners_per_million_residents,trimmed_total_per_million_residents,population_normalized_trimmed_mean_per_million
Oxford,606748,10,8,1,0.1,The Candyskins,Radiohead,Glass Animals | Supergrass | Foals | Ride | TTNG | Stornoway | Swervedriver | Hurricane #1,79630555,131.2415615708663,36462399,60.09479882916796,36460433,4557554.125,7.511444825528885,60.09155860423108,0.542105426742285,monthly_listeners,1,1,1,0,0,131241561.57086632,60091558.60423108,7511444.825528885
Sheffield,1217504,10,8,1,0.1,Ace,Arctic Monkeys,Bring Me The Horizon | Def Leppard | The Human League | Pulp | Moloko | Thompson Twins | The Last Shadow Puppets | ABC,93656067,76.92464829684337,41354197,33.96637464846111,40327888,5040986.0,4.140426643362157,33.123413146897256,0.5584461495697871,monthly_listeners,2,2,2,0,0,76924648.29684338,33123413.146897256,4140426.643362157
Manchester,3595966,10,8,1,0.1,The Stone Roses,Oasis,The Smiths | The 1975 | The Verve | The Chemical Brothers | Simply Red | New Order | Take That | Joy Division,138676765,38.56453731764984,99000292,27.530931048847513,95511984,11938998.0,3.3201086995816977,26.560869596653582,0.28610757541106474,monthly_listeners,4,3,3,1,0,38564537.317649834,26560869.59665358,3320108.6995816976
London,12666099,10,8,1,0.1,Blur,Coldplay,Queen | Fleetwood Mac | The Police | The Rolling Stones | Pink Floyd | Florence and the Machine | Led Zeppelin | The Clash,366760605,28.956082294951273,274726501,21.68990633974991,260716744,32589593.0,2.5729779152997305,20.583823322397844,0.25093781269119675,monthly_listeners,5,4,4,1,0,28956082.29495127,20583823.322397843,2572977.9152997304
Liverpool,1597536,10,8,1,0.1,Echo & the Bunnymen,The Beatles,CamelPhat | The La's | A Flock of Seagulls | Orchestral Manoeuvres in the Dark | Dead or Alive | The Wombats | Frankie Goes to Hollywood | Atomic Kitten,71892005,45.001805906095385,33964369,21.260471751497306,31754197,3969274.625,2.4846229599833745,19.876983679866996,0.527564031633281,monthly_listeners,3,5,5,-2,0,45001805.906095386,19876983.679866996,2484622.9599833745
Birmingham,3247941,10,8,1,0.1,Editors,ELO,Black Sabbath | Duran Duran | UB40 | Dexys Midnight Runners | Fine Young Cannibals | Judas Priest | The Moody Blues | Steel Pulse,83758431,25.78816271600993,65427767,20.144382856708297,64185830,8023228.75,2.470250768102007,19.762006144816056,0.21885156850657816,monthly_listeners,6,6,6,0,0,25788162.71600993,19762006.144816056,2470250.768102007
Glasgow,1895840,10,8,1,0.1,Belle and Sebastian,Franz Ferdinand,Simple Minds | Stealers Wheel | CHVRCHES | The Fratellis | Travis | Texas | Wet Wet Wet | Primal Scream,44115424,23.269592370664192,33307689,17.568829120600896,32166485,4020810.625,2.12085968488902,16.96687747911216,0.244987671432105,monthly_listeners,7,7,7,0,0,23269592.37066419,16966877.47911216,2120859.68488902
Bristol,1025309,10,8,1,0.1,Roni Size / Reprazent,Massive Attack,Portishead | Kosheen | Idles | Way Out West | Smith & Mighty | Fuck Buttons | The Blue Aeroplanes | The Pop Group,17389817,16.9605621329765,8696886,8.482209753352404,8696580,1087072.5,1.0602389133422216,8.481911306737773,0.4998862840247255,monthly_listeners,9,8,8,1,0,16960562.1329765,8481911.306737773,1060238.9133422216
Belfast,817574,10,8,1,0.1,New Pagans,Two Door Cinema Club,Bicep | Kneecap | Them | Stiff Little Fingers | And So I Watch You From Afar | The Outcasts | Girls Names | Rudi,15253374,18.65687265005981,5368951,6.566929721346325,5368516,671064.5,0.8207997074270953,6.566397659416762,0.6480155144691266,monthly_listeners,8,9,9,-1,0,18656872.65005981,6566397.659416762,820799.7074270953
Leeds,3070506,10,8,1,0.1,The Wedding Present,Alt-J,Soft Cell | Chumbawamba | Kaiser Chiefs | The Cult | Nightmares on Wax | Sisters of Mercy | Gang of Four | Yard Act,27602295,8.98949391403241,19491357,6.347929950307865,19445608,2430701.0,0.791628806457307,6.333030451658456,0.293850130940199,monthly_listeners,12,10,10,2,0,8989493.91403241,6333030.451658457,791628.8064573071
Nottingham,936382,10,8,1,0.1,Six by Seven,London Grammar,Ten Years After | Crazy P | Bent | Sleaford Mods | Paper Lace | Tindersticks | Pitchshifter | Dog Is Dead,7171024,7.658224955199907,4338885,4.633669805698956,4336394,542049.25,0.5788761958260624,4.631009566608499,0.3949420612732575,monthly_listeners,14,11,11,3,0,7658224.9551999075,4631009.5666085,578876.1958260625
Hull,631285,10,8,1,0.1,Red Guitars,Everything but the Girl,The Beautiful South | The Housemartins | Scarlet | Throbbing Gristle | Black Tongue | The Watersons | Kingmaker | The Paddingtons,7901526,12.51657492257855,2294133,3.6340686060970877,2293202,286650.25,0.45407422954766863,3.632593836381349,0.7096595012153348,monthly_listeners,11,12,12,-1,0,12516574.92257855,3632593.8363813492,454074.22954766866
Newcastle,1221203,10,8,1,0.1,Field Music,The Animals,Lighthouse Family | Maxïmo Park | Venom | The Futureheads | Little Comets | Lanterns on the Lake | Pigs Pigs Pigs Pigs Pigs Pigs Pigs | The Wildhearts,16201200,13.26659040306976,3876870,3.1746318998561254,3866041,483255.125,0.39572055178377386,3.165764414270191,0.760704762610177,monthly_listeners,10,13,13,-3,0,13266590.403069759,3165764.414270191,395720.5517837739
Cardiff,939371,10,8,1,0.1,Young Marble Giants,Stereophonics,Manic Street Preachers | Los Campesinos! | Catatonia | Super Furry Animals | The Automatic | Budgie | Mclusky | Kids in Glass Houses,7416867,7.8955673530479435,2229609,2.373512701584358,2187011,273376.375,0.29102066702080437,2.328165336166435,0.6993866817350237,monthly_listeners,13,14,14,-1,0,7895567.353047944,2328165.336166435,291020.66702080437
Leicester,967988,10,8,1,0.1,Gaye Bykers on Acid,Kasabian,Cornershop | hard life | Showaddywaddy | Family | Maybeshewill | Diesel Park West | Prolapse | Crazyhead,5439076,5.618949821692005,1789975,1.8491706508758372,1789176,223647.0,0.23104315342752182,1.8483452274201746,0.6709045801161815,monthly_listeners,15,15,15,0,0,5618949.821692005,1848345.2274201745,231043.15342752181
Coventry,787858,10,8,1,0.1,Adorable,The Specials,The Enemy | The Primitives | Fun Boy Three | Bolt Thrower | King | The Selecter | The Colourfield | Cathedral,2778985,3.527266334796372,1346612,1.7092064813710084,1327420,165927.5,0.21060584521576223,1.6848467617260978,0.5154302740029183,monthly_listeners,16,16,16,0,0,3527266.334796372,1684846.761726098,210605.84521576224
Edinburgh,932180,10,8,1,0.1,The Fire Engines,Boards of Canada,Bay City Rollers | Young Fathers | We Were Promised Jetpacks | The Exploited | The Rezillos | Idlewild | The Incredible String Band | Josef K,2693468,2.8894290802205584,1516282,1.6265978673646722,1514044,189255.5,0.20302463043618185,1.6241970434894548,0.43705215729312547,monthly_listeners,17,17,17,0,0,2889429.080220558,1624197.0434894548,203024.63043618185
Southampton,713674,10,8,1,0.1,The Lounge Kittens,Bury Tomorrow,Band of Skulls | Artful Dodger | Creeper | Our Hollow Our Home | Desolated | Delays | Power Quest | Dead!,1656126,2.320563730779039,1158147,1.622795562119399,1156731,144591.375,0.20260143286710738,1.620811462936859,0.3006890780049344,monthly_listeners,18,18,18,0,0,2320563.730779039,1620811.462936859,202601.4328671074
