band,city,spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access
And So I Watch You From Afar,Belfast,7qKMNwlACMZOUdMG3acwst,And So I Watch You from Afar,41717,93175,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Bicep,Belfast,73A3bLnfnz5BoQjb4gNCga,BICEP,3141387,673233,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Girls Names,Belfast,4UAxwzDV5PYB11huf5Shs3,Girls Names,9972,16785,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Kneecap,Belfast,1ZVACPeq7ccGCoUXwtafUU,KNEECAP,1263438,558490,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
New Pagans,Belfast,6T3ilEGTNIHzq1x92GDkaK,New Pagans,435,4282,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Rudi,Belfast,7cn9cxPh36ZnWTGXI78x55,Rudi,8789,5272,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Stiff Little Fingers,Belfast,2bt3I0VkmYuPvP57sxokab,Stiff Little Fingers,266703,236374,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Outcasts,Belfast,4DDiFKfkmzRaZEakCn1gjO,The Outcasts,37587,7593,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Them,Belfast,5BaHqGtf6UAZnHfqdPaTDA,Them,598923,155177,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Two Door Cinema Club,Belfast,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,9884423,2655723,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Black Sabbath,Birmingham,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,18288641,10711277,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Dexys Midnight Runners,Birmingham,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,7999321,384886,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Duran Duran,Birmingham,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,15134650,3958344,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
ELO,Birmingham,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,18330664,4748870,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Editors,Birmingham,6e9wIFWhBPHLE9bXK8gtBI,Editors,1241937,786142,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Judas Priest,Birmingham,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,4112763,4744039,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Steel Pulse,Birmingham,6UL7BodGc5iVmQGlMwHR0g,Steel Pulse,1883347,736715,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
The Moody Blues,Birmingham,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,2129836,1500809,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Fine Young Cannibals,Birmingham,20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,5309505,1018624,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
UB40,Birmingham,69MEO1AADKg1IZrq2XLzo5,UB40,9327767,2783787,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
Fuck Buttons,Bristol,6tCENAD2FBfIMyygJMeOJV,Fuck Buttons,23928,63138,0,2026-07-18T20:40:00.993779+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint
