band_name,original_city_label,musicbrainz_id,origin_confidence,origin_evidence_url,editorial_review_flag,spotify_url,spotify_match_name,selection_source,notes
The Rolling Stones,London,b071f9fa-14b0-4217-8e97-eb41da73f598,high,https://musicbrainz.org/artist/b071f9fa-14b0-4217-8e97-eb41da73f598,FALSE,,,existing_shortlist,
The Police,London,9e0e2b01-41db-4008-bd8b-988977d6019a,high,https://musicbrainz.org/artist/9e0e2b01-41db-4008-bd8b-988977d6019a,FALSE,https://open.spotify.com/artist/5NGO30tJxFlKixkPSgXcFE,The Police,popularity_first_replacement,Originally replaced The Clash after catalogue comparison; The Clash was later restored in place of The Who.
Blur,London,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,high,https://musicbrainz.org/artist/ba853904-ae25-4ebb-89d6-c44cfbd71bd2,FALSE,,,existing_shortlist,
Coldplay,London,cc197bad-dc9c-440d-a5b5-d52ba2e14234,high,https://musicbrainz.org/artist/cc197bad-dc9c-440d-a5b5-d52ba2e14234,FALSE,,,existing_shortlist,
Florence and the Machine,London,5fee3020-513b-48c2-b1f7-4681b01db0c6,high,https://musicbrainz.org/artist/5fee3020-513b-48c2-b1f7-4681b01db0c6,FALSE,,Florence + The Machine,existing_shortlist,
Queen,London,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,high,https://musicbrainz.org/artist/0383dadf-2a4e-4d10-a46a-e9e041da8eb3,FALSE,,,agent_addition,
Led Zeppelin,London,678d88b2-87b0-403b-b63d-5da7465aecc3,high,https://musicbrainz.org/artist/678d88b2-87b0-403b-b63d-5da7465aecc3,FALSE,,,agent_addition,
The Clash,London,8f92558c-2baa-4758-8c38-615519e9deda,high,https://musicbrainz.org/artist/8f92558c-2baa-4758-8c38-615519e9deda,FALSE,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,The Clash,popularity_first_replacement,Replaces The Who after comparison with the audited popularity-first catalogue.
Pink Floyd,London,83d91898-7763-47d7-b03b-b92132375c47,high,https://musicbrainz.org/artist/83d91898-7763-47d7-b03b-b92132375c47,FALSE,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,popularity_first_replacement,Replaces The Kinks after comparison with the audited popularity-first catalogue.
Fleetwood Mac,London,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,high,https://musicbrainz.org/artist/bd13909f-1c29-4c27-a874-d4aaf27c5b1a,FALSE,,,agent_addition,
Black Sabbath,Birmingham,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,high,https://musicbrainz.org/artist/5182c1d9-c7d2-4dad-afa0-ccfeada921a8,FALSE,,,existing_shortlist,
ELO,Birmingham,0c502791-4ee9-4c5f-9696-0602b721ff3b,high,https://musicbrainz.org/artist/0c502791-4ee9-4c5f-9696-0602b721ff3b,FALSE,,Electric Light Orchestra,existing_shortlist,
Duran Duran,Birmingham,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,high,https://musicbrainz.org/artist/1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,FALSE,,,existing_shortlist,
UB40,Birmingham,7113aab7-628f-4050-ae49-dbecac110ca8,high,https://musicbrainz.org/artist/7113aab7-628f-4050-ae49-dbecac110ca8,FALSE,,,existing_shortlist,
Editors,Birmingham,0efe858c-89e5-4e47-906a-356fa953fd6e,high,https://musicbrainz.org/artist/0efe858c-89e5-4e47-906a-356fa953fd6e,FALSE,,,existing_shortlist,AllMusic independently records formation in Birmingham in 2002; members first met at Stafford University.
Judas Priest,Birmingham,6b335658-22c8-485d-93de-0bc29a1d0349,high,https://musicbrainz.org/artist/6b335658-22c8-485d-93de-0bc29a1d0349,FALSE,,,agent_addition,
The Moody Blues,Birmingham,774666d2-2064-4d6c-856c-f8cda0aaf9f0,high,https://musicbrainz.org/artist/774666d2-2064-4d6c-856c-f8cda0aaf9f0,FALSE,,,agent_addition,
Fine Young Cannibals,Birmingham,23b0f3d6-ba54-4597-a1c7-24c6dd348ef7,high,https://musicbrainz.org/artist/23b0f3d6-ba54-4597-a1c7-24c6dd348ef7,FALSE,https://open.spotify.com/artist/20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,popularity_first_replacement,Replaces The Spencer Davis Group after comparison with the audited popularity-first catalogue.
Dexys Midnight Runners,Birmingham,ccce2053-7007-4c36-b1e7-f8fcf5023a12,high,https://musicbrainz.org/artist/ccce2053-7007-4c36-b1e7-f8fcf5023a12,FALSE,,,agent_addition,
Steel Pulse,Birmingham,37367b2f-69e4-4df2-9e64-75ca6204764b,high,https://musicbrainz.org/artist/37367b2f-69e4-4df2-9e64-75ca6204764b,FALSE,https://open.spotify.com/artist/6UL7BodGc5iVmQGlMwHR0g,Steel Pulse,popularity_first_replacement,Formed in Handsworth within Birmingham FUA; replaces Ocean Colour Scene after comparison with the audited popularity-first catalogue.
Oasis,Manchester,39ab1aed-75e0-4140-bd47-540276886b60,high,https://musicbrainz.org/artist/39ab1aed-75e0-4140-bd47-540276886b60,FALSE,,,existing_shortlist,
The Smiths,Manchester,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,high,https://musicbrainz.org/artist/40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,FALSE,,,existing_shortlist,
New Order,Manchester,f1106b17-dcbb-45f6-b938-199ccfab50cc,high,https://musicbrainz.org/artist/f1106b17-dcbb-45f6-b938-199ccfab50cc,FALSE,,,existing_shortlist,AllMusic gives Salford; the frozen OECD crosswalk maps Salford to Manchester FUA.
The Stone Roses,Manchester,b5fa29f1-6c22-4321-a488-b5f363b06b06,high,https://musicbrainz.org/artist/b5fa29f1-6c22-4321-a488-b5f363b06b06,FALSE,,,existing_shortlist,
The 1975,Manchester,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,high,https://musicbrainz.org/artist/5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,FALSE,,,existing_shortlist,AllMusic gives Wilmslow; the frozen OECD crosswalk maps Cheshire East to Manchester FUA.
Joy Division,Manchester,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,high,https://musicbrainz.org/artist/9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,FALSE,,,agent_addition,Joy Division's official history gives Salford; the frozen OECD crosswalk maps Salford to Manchester FUA.
The Chemical Brothers,Manchester,1946a82a-f927-40c2-8235-38d64f50d043,high,https://musicbrainz.org/artist/1946a82a-f927-40c2-8235-38d64f50d043,FALSE,,,agent_addition,
Simply Red,Manchester,a9100753-f539-43cf-bcc9-579566fb512e,high,https://musicbrainz.org/artist/a9100753-f539-43cf-bcc9-579566fb512e,TRUE,,,agent_addition,Formally eligible group; soul-pop editorial review.
Take That,Manchester,24d2505b-388c-46cc-8a64-48223ea6d78d,high,https://musicbrainz.org/artist/24d2505b-388c-46cc-8a64-48223ea6d78d,TRUE,,,agent_addition,Formally eligible group; pop editorial review.
The Verve,Manchester,d4d17620-fd97-4574-92a8-a2cb7e72ce42,high,https://musicbrainz.org/artist/d4d17620-fd97-4574-92a8-a2cb7e72ce42,FALSE,https://open.spotify.com/artist/2cGwlqi3k18jFpUyTrsR84,The Verve,popularity_first_replacement,Formed in Wigan within Manchester FUA; replaces Happy Mondays after comparison with the audited popularity-first catalogue.
Simple Minds,Glasgow,f41490ce-fe39-435d-86c0-ab5ce098b423,high,https://musicbrainz.org/artist/f41490ce-fe39-435d-86c0-ab5ce098b423,FALSE,,,existing_shortlist,
Primal Scream,Glasgow,55704c38-224f-4b75-b29f-d43653f8bc9a,high,https://musicbrainz.org/artist/55704c38-224f-4b75-b29f-d43653f8bc9a,FALSE,,,existing_shortlist,
Belle and Sebastian,Glasgow,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,high,https://musicbrainz.org/artist/e5c7b94f-e264-473c-bb0f-37c85d4d5c70,FALSE,,,existing_shortlist,
Franz Ferdinand,Glasgow,aa7a2827-f74b-473c-bd79-03d065835cf7,high,https://musicbrainz.org/artist/aa7a2827-f74b-473c-bd79-03d065835cf7,FALSE,,,existing_shortlist,
CHVRCHES,Glasgow,6a93afbb-257f-4166-b389-9f2a1e5c5df8,high,https://musicbrainz.org/artist/6a93afbb-257f-4166-b389-9f2a1e5c5df8,FALSE,,,existing_shortlist,
Wet Wet Wet,Glasgow,45bbfc68-2523-49e4-96f7-d7d1c3d41aac,high,https://musicbrainz.org/artist/45bbfc68-2523-49e4-96f7-d7d1c3d41aac,FALSE,https://open.spotify.com/artist/2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,popularity_first_replacement,Formed in Clydebank within Glasgow FUA; replaces Mogwai after comparison with the audited popularity-first catalogue.
Texas,Glasgow,7289d10d-d8d2-41ff-8308-c56ec9346e07,high,https://musicbrainz.org/artist/7289d10d-d8d2-41ff-8308-c56ec9346e07,FALSE,,,agent_addition,
Travis,Glasgow,22a40b75-affc-4e69-8884-266d087e4751,high,https://musicbrainz.org/artist/22a40b75-affc-4e69-8884-266d087e4751,FALSE,https://open.spotify.com/artist/3bUwxJgNakzYKkqAVgZLlh,Travis,popularity_first_replacement,Replaces Deacon Blue after comparison with the audited popularity-first catalogue.
Stealers Wheel,Glasgow,63200203-e2c6-4081-8e0d-00c9732c6b6f,high,https://musicbrainz.org/artist/63200203-e2c6-4081-8e0d-00c9732c6b6f,FALSE,https://open.spotify.com/artist/7bPU7cvfoD20ixGD9Qnqki,Stealers Wheel,popularity_first_replacement,Formed in Paisley within Glasgow FUA; replaces Del Amitri after comparison with the audited popularity-first catalogue.
The Fratellis,Glasgow,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,high,https://musicbrainz.org/artist/f4ad883e-9a92-45ed-a540-a49c2d1c36dd,FALSE,,,agent_addition,
The Beatles,Liverpool,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,high,https://musicbrainz.org/artist/b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,FALSE,,,existing_shortlist,
Echo & the Bunnymen,Liverpool,ccd4879c-5e88-4385-b131-bf65296bf245,high,https://musicbrainz.org/artist/ccd4879c-5e88-4385-b131-bf65296bf245,FALSE,,,existing_shortlist,
Frankie Goes to Hollywood,Liverpool,c09c8263-40ef-4352-8031-e438b1ce68fc,high,https://musicbrainz.org/artist/c09c8263-40ef-4352-8031-e438b1ce68fc,FALSE,,,existing_shortlist,
The La's,Liverpool,ff3e88b3-7354-4f30-967c-1a61ebc8c642,high,https://musicbrainz.org/artist/ff3e88b3-7354-4f30-967c-1a61ebc8c642,FALSE,,,existing_shortlist,
The Wombats,Liverpool,e105c272-b5d7-4135-82ef-d60bded54345,high,https://musicbrainz.org/artist/e105c272-b5d7-4135-82ef-d60bded54345,FALSE,,,existing_shortlist,
Dead or Alive,Liverpool,98720123-fcec-47be-9e88-29a310fb2942,high,https://musicbrainz.org/artist/98720123-fcec-47be-9e88-29a310fb2942,FALSE,,,agent_addition,
CamelPhat,Liverpool,61314ff2-7b52-4296-a0b8-af61dc08bdd1,high,https://musicbrainz.org/artist/61314ff2-7b52-4296-a0b8-af61dc08bdd1,FALSE,https://open.spotify.com/artist/240wlM8vDrf6S4zCyzGj2W,CamelPhat,popularity_first_replacement,Replaces Gerry and the Pacemakers after comparison with the audited popularity-first catalogue.
A Flock of Seagulls,Liverpool,aaa436da-b331-4e58-a0fd-3d64d090c120,high,https://musicbrainz.org/artist/aaa436da-b331-4e58-a0fd-3d64d090c120,FALSE,https://open.spotify.com/artist/0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,agent_addition,
